NDC,MegaChainNameNew,AffilID,unit_cost,unit_retail_price
00536121429,CVS,9000373,0.0782,0.0817
00536121429,REG CHAIN,9000664,0.2116,0.2228
00536123201,ALBERTSON'S/SAFEWAY,9000950,0.3225,0.3329
00536123201,PSAO,9000709,0.2267,0.2371
00536123201,REG CHAIN,9000137,0.076,0.1665
00536124701,CVS,9000373,0.0597,0.0623
00536124701,REG CHAIN,9000664,0.0925,0.0977
00536129901,ALBERTSON'S/SAFEWAY,9001062,0.1821,0.1873
00536129901,INDEPENDENT,0000000,0.4725,0.5823
00536129901,PSAO,9009915,0.1101,0.1383
00536129901,RITE AID CORP,9000045,0.28,0.9158
00536129901,WALGREENS,9000037,0.2333,0.6027
00536132701,REG CHAIN,9000482,0.107,0.1168
00536408501,PSAO,9000909,0.1621,0.2499
00536408501,REG CHAIN,9000074,0.0459,0.049
00536408501,THE KROGER COMPANY,9000428,0.26,0.2707
00536430608,PSAO,9000027,0.1323,0.4467
00536440601,ALBERTSON'S/SAFEWAY,9000050,0.0356,0.1389
00536440601,RITE AID CORP,9000045,0.1656,0.1777
00536440601,THE KROGER COMPANY,9000468,0.0356,0.0415
00536440601,WALGREENS,9000037,0.2625,0.2988
00536478701,CVS,9000373,0.111,0.1144
00536478701,PSAO,9009783,0.4004,0.5492
00536703801,RITE AID CORP,9000045,0.1604,0.1871
00555003302,CVS,9000009,1.2781,3.7469
00555003302,CVS,9000064,0.7818,1.3625
00555003302,WALMART PHARMACY,9000057,0.7287,0.7393
00555015802,REG CHAIN,9000912,0.865,1.25
00555015802,THE KROGER COMPANY,9000428,0.4267,0.4371
00555015902,REG CHAIN,9000664,1.8604,2.0813
00555032402,RITE AID CORP,9000045,0.8229,1.4998
00555048302,INDEPENDENT,0000000,0.6746,2.0502
00555048302,PSAO,9009915,0.6603,0.7504
00555057202,INDEPENDENT,0000000,1.1654,4.6326
00555077702,CVS,9000009,1.6214,2.4366
00555077702,WALMART PHARMACY,9000057,0.4581,2.9064
00555087302,CVS,9000009,1.24,2.9975
00555087302,INDEPENDENT,0000000,0.5446,0.6388
00555087302,RITE AID CORP,9000045,0.6738,0.7912
00555087302,WALGREENS,9000037,0.8088,1.4988
00555088602,CVS,9000009,2.4125,7.4938
00555088602,INDEPENDENT,0000000,0.4821,1.5831
00555088602,RITE AID CORP,9000045,1.225,2.4979
00555088602,WALGREENS,9000037,1.9437,7.4938
00555088602,WALMART PHARMACY,9000057,0.2269,0.2287
00555089902,THE KROGER COMPANY,9000937,0.2642,0.6249
00555095202,CVS,9000373,1.1552,2.729
00555097102,RITE AID CORP,9000045,1.6506,2.6248
00555097102,WALGREENS,9000037,2.4554,3.5696
00555097202,REG CHAIN,9000074,1.2275,2.4958
00555097302,CVS,9000064,0.9579,1.9329
00555097302,INDEPENDENT,0000000,0.9146,22.6104
00555097302,REG CHAIN,9000044,0.7083,1.604
00555097302,REG CHAIN,9000467,0.721,2.1428
00555097302,WALGREENS,9000037,4.325,14.9875
00555097402,CVS,9000009,1.6321,2.2759
00555097402,CVS,9000064,0.9413,2.1913
00574029201,INDEPENDENT,0000000,0.294,2.2068
00574029201,REG CHAIN,9000137,0.4483,1.5517
00574029201,THE KROGER COMPANY,9000428,0.2479,0.6352
00574029201,WALMART PHARMACY,9000057,0.6331,0.9154
00574050801,ALBERTSON'S/SAFEWAY,9000950,1.18,1.2112
00574050801,CVS,9000009,0.0978,0.1013
00574050801,INDEPENDENT,0000000,0.3887,0.4221
00574050801,REG CHAIN,9000017,0.1694,0.1746
00574050801,REG CHAIN,9000137,0.1896,0.3333
00574050801,REG CHAIN,9000467,0.3887,0.4163
00574060801,ALBERTSON'S/SAFEWAY,9000026,0.1967,0.2019
00574082701,REG CHAIN,9000074,24.7625,31.1875
00591079501,ALBERTSON'S/SAFEWAY,9000950,0.3156,0.6211
00591270801,WALGREENS,9000037,5.3946,20.6269
00591385419,CVS,9000009,4.4392,10.5412
00591610060,THE KROGER COMPANY,9000428,19.7913,38.9994
00603254021,CVS,9000064,1.4675,1.4988
00603459321,CVS,9000009,5.3375,14.9875
00603516621,REG CHAIN,9000664,0.5229,0.9707
00603516721,CVS,9000009,1.6271,2.4979
00603516721,RITE AID CORP,9000045,1.6271,2.4979
00603516721,WALGREENS,9000037,1.7833,3.7469
00603516721,WALMART PHARMACY,9000057,0.7382,1.0507
00603545021,CVS,9000009,3.08,3.1113
00603545021,RITE AID CORP,9000045,1.3961,2.986
00603545021,WALGREENS,9000037,2.2763,3.6237
00641037625,RITE AID CORP,9000045,0.5609,1.7999
00641037625,WALGREENS,9000037,3.7875,14.9875
00781107905,CVS,9000064,4.5375,14.9875
00781169501,INDEPENDENT,0000000,0.5843,2.1844
00781187431,THE KROGER COMPANY,9000468,2.7804,7.4089
00781194339,THE KROGER COMPANY,9000468,5.1018,9.5978
00781207410,CVS,9000009,0.21,0.4721
00781207410,WALGREENS,9000037,1.1792,4.9958
00781210301,RITE AID CORP,9000045,4.3444,7.4994
00781210301,WALGREENS,9000037,5.5417,5.9542
00781214501,WALMART PHARMACY,9000057,0.7615,0.7667
00781235201,CVS,9000373,2.6527,8.5705
00781326869,CVS,9000009,8.6411,109.9998
00832011100,PSAO,9000909,1.3842,2.3871
00832011100,REG CHAIN,9000074,1.3592,3.4146
00832022600,RITE AID CORP,9000045,2.3232,7.4994
00832022600,WALGREENS,9000037,5.4797,6.5766
00832022700,REG CHAIN,9000074,4.0921,8.1229
00832031011,THE KROGER COMPANY,9000428,0.66,1.651
00832054211,CVS,9000373,1.8344,1.8734
00832107230,RITE AID CORP,9000045,5.175,14.9999
00832107230,WALGREENS,9000037,5.2687,15.2912
00832107430,THE KROGER COMPANY,9000428,19.9433,32.0415
00832121200,REG CHAIN,9000137,0.2687,0.6107
00832121700,REG CHAIN,9000137,0.3533,1.0235
00832151011,THE KROGER COMPANY,9000468,0.1574,1.1405
00832167011,REG CHAIN,9000074,0.9396,1.7896
00832712211,THE KROGER COMPANY,9000428,0.2675,1.156
00904052360,ALBERTSON'S/SAFEWAY,9000026,0.1967,0.2019
00904052360,ALBERTSON'S/SAFEWAY,9000542,0.2107,0.2163
00904198760,CVS,9000373,0.0716,0.0748
00904208560,CVS,9000009,0.081,0.0844
00904227260,REG CHAIN,9000074,0.3901,0.6013
00904404073,CVS,9000373,0.065,0.068
00904404073,REG CHAIN,9000664,0.0683,0.0788
00904404360,CVS,9000009,0.1164,0.119
00904404360,REG CHAIN,9000137,0.1454,0.2025
00904404360,REG CHAIN,9000482,0.131,0.1361
00904418160,ALBERTSON'S/SAFEWAY,9000950,0.3225,0.3329
00904421813,RITE AID CORP,9000045,0.1558,0.4579
00904423960,INDEPENDENT,0000000,0.329,0.5013
00904505359,ALBERTSON'S/SAFEWAY,9000950,1.2931,1.3875
00904506860,ALBERTSON'S/SAFEWAY,9000950,2.4188,2.4969
00904522452,CVS,9000009,0.2127,0.2183
00904522452,RITE AID CORP,9000045,0.138,0.2747
00904522452,WALGREENS,9000037,0.2346,0.4996
00904546080,CVS,9000009,0.0573,0.1041
00904552952,RITE AID CORP,9000045,0.6825,0.745
00904552952,WALGREENS,9000037,0.5525,1.4988
00904576960,ALBERTSON'S/SAFEWAY,9000950,0.2536,0.2727
00904640360,CVS,9000009,0.0751,0.0783
00904640360,INDEPENDENT,0000000,0.2558,0.35
00904640360,REG CHAIN,9000137,0.0963,0.1343
00904641292,ALBERTSON'S/SAFEWAY,9000026,0.1075,0.111
00904641292,PSAO,9000909,0.1304,0.1499
00904641292,REG CHAIN,9000482,0.1142,0.1246
00904672559,WALGREENS,9000037,0.2662,1.4988
00904672852,RITE AID CORP,9000045,0.2648,0.7797
00904674759,REG CHAIN,9000074,0.0655,0.0686
00904674860,ALBERTSON'S/SAFEWAY,9000950,2.4188,2.4969
00904674860,THE KROGER COMPANY,9001065,0.8563,0.9344
00904675060,THE KROGER COMPANY,9000428,0.0571,0.0623
00904759080,ALBERTSON'S/SAFEWAY,9001929,0.3225,0.3329
00904759080,INDEPENDENT,0000000,0.7125,2.1033
00904759080,REG CHAIN,9000585,0.2075,0.4163
00904759080,REG CHAIN,9000742,0.0381,0.0415
07610003220,RITE AID CORP,9000045,0.2892,0.4992
07610032024,CVS,9000009,0.0565,0.0591
10006073038,ALBERTSON'S/SAFEWAY,9000026,0.3225,0.3329
10006073043,CVS,9000009,0.0629,0.0645
10135068260,ALBERTSON'S/SAFEWAY,9000050,0.2238,0.229
10702000109,ALBERTSON'S/SAFEWAY,9000050,0.5354,1.5829
10702000109,CVS,9000009,1.0054,1.2223
10702000109,INDEPENDENT,0000000,0.5,1.0125
10702000109,REG CHAIN,9000003,0.325,1.0829
10702000109,REG CHAIN,9000137,0.6065,1.1723
10702001601,THE KROGER COMPANY,9000428,1.3856,2.4996
10702001801,CVS,9000373,1.3025,2.9975
10702001801,REG CHAIN,9000664,2.2375,2.4975
10702001801,THE KROGER COMPANY,9000468,0.895,0.9158
10702002501,CVS,9000373,1.8893,2.1411
10702002501,REG CHAIN,9000664,0.5062,1.9496
10702002601,CVS,9000373,1.9286,2.1411
10702002901,ALBERTSON'S/SAFEWAY,9000950,0.7879,1.9163
10702002901,CVS,9000064,1.7625,2.1411
10702002901,INDEPENDENT,0000000,0.5883,2.7717
10702002901,PSAO,9000909,0.5529,1.3204
10702004401,CVS,9000009,1.6917,4.9958
10702004401,WALMART PHARMACY,9000057,0.4613,0.4888
10702005501,REG CHAIN,9000366,1.2081,2.1924
10702005501,REG CHAIN,9000594,1.4737,2.9579
10702005601,CVS,9000373,1.825,4.9958
10702005601,REG CHAIN,9000363,0.2468,0.9064
10702005601,REG CHAIN,9000664,0.276,1.0165
10702005601,REG CHAIN,9000994,0.8717,1.1592
10702007701,ALBERTSON'S/SAFEWAY,9000950,0.2437,0.3269
10702007701,CVS,9000009,0.7018,2.1411
10702007701,CVS,9000064,0.4185,0.7137
10702007701,INDEPENDENT,0000000,0.336,0.6125
10702015016,ALBERTSON'S/SAFEWAY,9000950,0.239,0.3956
10702015016,CVS,9000009,0.87,2.9975
10702015016,CVS,9000064,0.3521,0.4996
10702015016,INDEPENDENT,0000000,0.2276,0.451
10702015016,REG CHAIN,9000094,0.1367,0.9915
10702015016,REG CHAIN,9000467,0.1351,0.3039
10702015016,WALGREENS,9000037,0.1203,0.2928
11534016503,PSAO,9009783,0.4079,0.7917
11534018701,THE KROGER COMPANY,9000468,2.215,2.7487
11534019701,REG CHAIN,9000074,2.9375,12.8292
11822003340,RITE AID CORP,9000045,0.207,0.2143
11822389470,RITE AID CORP,9000045,0.1158,0.1246
11822439600,RITE AID CORP,9000045,0.086,0.0919
11822517540,RITE AID CORP,9000045,0.1155,0.1186
11822881060,RITE AID CORP,9000045,0.0764,0.0799
11845007625,CVS,9000373,0.2604,0.3093
11845009661,RITE AID CORP,9000045,0.2868,0.723
11845009661,WALGREENS,9000037,0.1942,0.4996
11845013198,CVS,9000009,0.7908,0.8996
11845014638,CVS,9000009,0.1821,0.4063
11845014871,CVS,9000009,0.0679,0.0731
11845014995,CVS,9000009,0.2363,0.2721
11917007696,CVS,9000009,0.151,0.1544
11917007696,WALGREENS,9000037,0.19,0.2079
11917017102,WALGREENS,9000037,0.1558,0.1663
12830082401,REG CHAIN,9000074,0.4479,0.5
13107000334,REG CHAIN,9000137,0.3907,1.5693
13107000334,THE KROGER COMPANY,9001065,0.67,1.0413
13107001401,INDEPENDENT,0000000,0.2302,2.3002
13107001401,THE KROGER COMPANY,9000428,0.354,1.0347
13107003134,CVS,9000373,1.6242,1.9575
13107003134,THE KROGER COMPANY,9000468,0.3222,1.2499
13107031901,CVS,9000009,3.5792,4.9958
13668000905,ALBERTSON'S/SAFEWAY,9000050,0.2327,0.6248
13668001005,PSAO,9009915,0.1675,4.0793
13668001005,REG CHAIN,9000743,0.3913,4.2604
13668001005,THE KROGER COMPANY,9000085,0.4371,0.7079
13668001105,THE KROGER COMPANY,9001065,0.1835,0.8262
13668013501,REG CHAIN,9000074,3.6875,7.8958
13668013501,THE KROGER COMPANY,9000010,0.5821,1.9651
13668013501,THE KROGER COMPANY,9000428,0.6103,1.9651
13668020330,CVS,9000009,9.9313,13.3312
13668034030,REG CHAIN,9000074,3.8925,13.9146
13668048201,ALBERTSON'S/SAFEWAY,9000950,0.405,1.2498
13668048450,INDEPENDENT,0000000,0.85,5.5125
13668048450,WALGREENS,9000037,4.8917,4.9958
13811052501,THE KROGER COMPANY,9000428,0.3449,0.8401
13811053890,CVS,9000009,0.6937,0.7958
13811053890,WALGREENS,9000037,0.3447,0.7637
13811058030,REG CHAIN,9000074,1.7004,2.9562
13811070110,CVS,9000009,7.3058,10.2674
13811070710,CVS,9000009,9.2333,12.0906
13811070710,RITE AID CORP,9000045,5.2021,10.6248
13811070810,THE KROGER COMPANY,9000428,3.22,3.3954
13925011890,CVS,9000009,0.8854,0.9463
13925050401,WALGREENS,9000037,1.9554,3.2045
14539067306,CVS,9000009,2.2175,2.2487
14539067306,WALMART PHARMACY,9000057,1.6588,2.1463
15014040060,CVS,9000009,3.9883,27.3325
